Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,What else do you add to your coffee?,What kind of dairy do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?","Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
gMR29l,18-24 years old,,,,,,,Regular drip coffee,,No - just black,,,Complex,,,,,,,,,,,,,,,,,,,,,,,
BkPN0e,25-34 years old,,,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Iced coffee,,"Sugar or sweetener, No - just black",,,Light,,,,,,,,,,,,,,,,,,,,,,,
W5G8jj,25-34 years old,,,Bean-to-cup machine,,,,Regular drip coffee,,No - just black,,,Complex,,,,,,,,,,,,,,,,,,,,,,,
4xWgGr,35-44 years old,,,Coffee brewing machine (e.g. Mr. Coffee),,,,Iced coffee,,"No - just black, Cinnamon",,,Complex,,,,,,,,,,,,,,,,,,,,,,,
QD27Q8,25-34 years old,,,Pour over,,,,Latte,,No - just black,,,Sweet,,,,,,,,,,,,,,,,,,,,,,,
V0LPeM,55-64 years old,,,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press",,,,Iced coffee,,Half & half,,,,,,,,,,,,,,,,,,,,,,,,,,
V0Gaxg,18-24 years old,,"At a cafe, At the office, At home, On the go","Pour over, French press, Espresso, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso)",,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other",,Pourover,,No - just black,,,Complex,,,,,,,,,,,,,,,,,,,,,,,
AdzRL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbWda2,25-34 years old,Less than 1,At a cafe,,,,,Regular drip coffee,,No - just black,,,Light,,,,,,,,,,,,,,,,,,,,,,,
EXQLWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2eNLJg,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xpa2K9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V00RoJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7WWB4A,<18 years old,2,"On the go, At a cafe, At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",,"Local cafe, Specialty coffee shop",,Other,cortado,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,,Full Bodied,Somewhat light,Light,Full caffeine,,,,,,,,,,,,,,,,,,,,
pKL8aB,25-34 years old,1,At the office,,,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,7,,,,,,,,,,,,,,,,,,,
Zd694B,<18 years old,3,"At home, At the office, At a cafe","Pour over, Espresso, Instant coffee",,,,Pourover,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,Bright,Medium,Light,Full caffeine,10,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,,,,,,,,,Other,Bachelor's degree,Other,Employed full-time,More than 3,Democrat
QAeYZY,>65 years old,3,"At the office, At a cafe",,,,,Cortado,,No - just black,,,Fruity,Somewhat strong,Blonde,Full caffeine,7,Coffee C,Coffee D,Coffee D,,,,,,,,,,,,,,,,
